label,text
Positive,Apa yang penting adalah membetulkan semula aliran tunai dalam FELDA itu sendiri dan proses ketelusan serta tadbir urus yang cekap ini memerlukan sedikit masa.
Neutral,ROS mesti merujuk perlembagaan
Negative,"Akibatnya, DAP memperoleh kejayaan yang besar manakala MCA dan Gerakan mengalami kekalahan yang paling teruk dalam sejarah"
Negative,"Memang ada kegagalan dalam syarikat ini, kelemahan tadbir urus"
Neutral,Mungkin pertumbuhan dalam KDNK (Keluaran Dalam Negara Kasar) di Malaysia didorong oleh pertumbuhan dalam keuntungan (perniagaan)
Negative,"Idea ini dibawa oleh individu sehingga Pas yang begitu Melayu dan Islamnya boleh bekerjasama, tapi sekarang ini semuanya telah berubah apabila Pas keluar daripada PR"
Positive,"Kami berpendapat, sebarang persoalan mengaitkan isu politik yang timbul mestilah diselesaikan dengan hujah dan fakta."
Positive,"Sebelum ini, Pengerusi Harapan, Tun Dr Mahathir Mohamad nyatakan jika ada pihak berasa tidak puas hati, bermakna berjaya lah rundingan tu"
Positive,Jikalau tiada penyelesaian maka perbincangan kerusi ini mungkin akan dibuat di peringkat PH pusat
Positive,Kita harus kembali ke papan lukisan untuk mengkaji dan melihat sistem yang lebih baik menguruskan kebajikan mereka di sini
Neutral,Saya juga tidak mahu jemput mereka yang belum lagi bermesyurat sudah tuduh yang bukan-bukan
Negative,Pas tidak lagi releven sebagai parti politik dan tidak ada arah.
Positive,Kita bersyukur apabila hasrat untuk melihat pendidikan agama terus berkembang di kawasan ini akan tercapai apabila mendapat maklumat bahawa peruntukan sudah diluluskan
Negative,Petugas pilihan raya dan media juga bakal menghabiskan masa berjam-jam di jalan raya semasa kempen serta pada hari penamaan calon dan hari mengundi
Neutral,Orang Asli perlukan hutan kerana itu sumber pendapatan mereka.
Positive,Mereka ini merupakan aset penting yang tidak boleh disisihkan begitu sahaja
Positive,Calon itu haruslah seseorang yang kuat dan berpengaruh
Negative,"Harga barang naik, duit ubat lagi, memang saya rasa susahlah sekarang"
Negative,Mustahil untuk memansuhkan pemeriksaan imigresen dan kastam bagi orang ramai yang keluar dari Singapura
Positive,bahangnya sudah mula terasa apabila mereka yang berhasrat untuk bertanding berusaha sedaya upaya memenangi kerusi yang diidamkan.
Positive,"Saya tidak kata saya sokong cadangan mereka, tetapi dari perspektif perniagaan, saya rasa adalah bijak tidak mengenakan bayaran untuk beg plastik."
Positive,"Di dalam aplikasi ini rakyat boleh mencari lokasi pasar tani di kawasan mereka, waktu operasi, harga semasa barangan serta mereka boleh memberi pandangan atau komen berkenaan pasar tani terlibat,"
Positive,Rancang perjalanan awal kalau tidak mahu mahal
Positive,Saya berjuang semasa saya jadi penyelaras lagi.
Negative,Ada yang tanya kenapa saya seorang penyibuk dan menghantar memo itu kepada mereka
Negative,"Ia tempoh yang sangat panjang dalam membuat keputusannya, jadi kenapa Malaysia sekarang harus membalasnya?"
Positive,"Selain itu, satu dasar dan piawaian standard perlu diperkenalkan kepada semua agensi kerajaan yang mengendalikan data peribadi bagi memastikan ia diproses selamat dan tidak terdedah kepada penyalahgunaan"
Negative,kecaman dan kritikan hebat pastinya dirasai oleh parti pemerintah lantaran kedudukannya yang menjadi kerajaan pada hari ini dengan pelbagai dasar dan polisi yang sentiasa terdedah kepada kritikan dan pelbagai persepsi rakyat.
Positive,"Satu, barang-barang keperluan asas di mana kerajaan akan mengawal harganya seperti beras, tepung, gula, minyak masak dan gas memasak"
Negative,"Kita sedar, pembangunan industri masa kini berlandaskan ekonomi digital dan cabaran untuk menangani ancaman ini semakin sukar"
Positive,Kami bersimpati dengan apa yang berlaku dan mengharapkan agar keluarga dapat menerima ketentuan tersebut
Neutral,Ada saudara mara saya yang juga ahli Rela dan mereka menghubugi saya dan memberitahu mereka ditugaskan diSemporna dan Lahad Datu
Positive,pasaran dapat terus bergerak bagi membolehkannya berkembang dengan berkesan serta memenuhi kehendak pertumbuhan ekonomi
Neutral,"Negara muflis boleh bina Lebuhraya Pan Borneo bernilai RM18 bilion dari Sindumin, Sipitang hingga ke Tawau sepanjang 1,200 kilometer tanpa tol?"
Negative,Pakatan Harapan bimbang rakyat tidak keluar mengundi
Negative,"Walaupun wanita memberi sumbangan besar kepada keluarga dan komoditi, wanita mempunyai kurang pemerkasaan ekonomi, kurang pendapatan dan kurang mandiri"
Positive,"Bagaimanapun, persiapan kita kali ini luar biasa berbanding sebelum ini."
Positive,"cinta bukan saja boleh dizahirkan kepada insan lain, malah dalam pelbagai aspek kehidupan."
Positive,Kita dapat selesaikan dua lagi projek pembangunan masjid di Bemban dan Tehel atas permintaan sejak tahun 2009 yang mana jumlah keseluruhan kedua-duanya menelan RM9.5 juta.
Positive,"Sejajar usaha meningkatkan peluang pekerjaan dalam kalangan masyarakat India, SEDIC sudah mengadakan perbincangan dengan beberapa agensi kerajaan."
Negative,Antara mereka yang terdedah kepada ancaman keselamatan ialah kakitangan Suruhanjaya Pilihan Raya (SPR) dan agensi kerajaan yang terlibat dalam memastikan kelancaran proses pemilihan.
Neutral,Kami menunggu isyarat pembubaran Parlimen dan jentera kami bersiap siaga sepenuhnya. 
Negative,Pilihan raya yang sukar diramal
Positive,Mereka tak boleh terus-menerus naikkan harga barang sebab pengguna lebih bijak memilih barangan
Positive,"Insya-Allah pada 2050, kita akan dapat lihat pelaksanaan sepenuhnya program-program yang telah dipersetujukan dalam resolusi tersebut"
Positive,BN akan kaji cara ini dan akan melaksanakannya jika menang dalam PRU-14 
Negative,Pada ketika ini kami tidak jelas di mana dia ditahan
